Date/Time,Word Count,en,ja
2024.01.30-10.22.04,398,398,0
2024.01.30-11.05.47,394,394,0
2024.01.30-11.27.03,86,86,1
2024.01.30-13.23.33,93,93,1
2024.01.30-13.50.01,88,88,1
2024.01.30-14.00.32,84,84,10
2024.01.30-14.36.01,82,82,67
2024.01.30-16.41.15,87,87,67
2024.01.30-16.46.22,85,85,68
2024.01.30-16.53.41,85,85,70
2024.01.30-18.48.28,89,89,70
2024.01.30-18.55.42,189,189,70
2024.01.30-19.46.54,189,189,170
2024.01.31-18.23.49,202,202,170
2024.01.31-22.38.24,353,353,178
2024.02.01-09.48.57,378,378,334
2024.02.01-13.52.48,378,378,331
2024.02.02-10.41.59,389,389,359
